oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,misc_price,memory,ram,removability,battery_capacity
Oppo,Find X2 Pro,65,8,Adreno 650,Dual-Sim,5G,AMOLED,4K,1080p,217,1440 x 3168 ,6.7,No,Android,Qualcomm SM8250 Snapdragon 865,1010.71,256,12,Non-removable,4260
Oppo,Find X2,65,8,Adreno 650,Dual-Sim,5G,AMOLED,4K,1080p,209,1440 x 3168 ,6.7,No,Android,Qualcomm SM8250 Snapdragon 865,969.99,128,8,Non-removable,4200
Oppo,Reno3 Pro,30,8,PowerVR GM9446,Dual-Sim,LTE,Super AMOLED,4K,1080p,175,1080 x 2400 ,6.4,Yes,Android,Mediatek Helio P95,29149,128,8,Non-removable,4025
Oppo,F15,20,8,Mali-G72,Dual-Sim,LTE,AMOLED,1080p,1080p,172,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6771V Helio P70,299.89,128,8,Non-removable,4025
Oppo,Reno3 Pro 5G,30,8,Adreno 620,Dual-Sim,5G,AMOLED,4K,1080p,171,1080 x 2400 ,6.5,No,Android,Qualcomm SDM765 Snapdragon 765G,690,128,8,Non-removable,4025
Oppo,Reno3 Youth,30,8,Adreno 620,Dual-Sim,5G,AMOLED,4K,1080p,180,1080 x 2400 ,6.4,Yes,Android,Qualcomm SDM765 Snapdragon 765G,400,128,8,Non-removable,4025
Oppo,Reno3 5G,30,8,Mali-G77,Dual-Sim,5G,AMOLED,4K,1080p,181,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6885Z Dimensity 1000L,440,128,8,Non-removable,4025
Oppo,A91,20,8,Mali-G72,Dual-Sim,LTE,AMOLED,1080p,1080p,172,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6771V Helio P70,269.98,128,8,Non-removable,4025
Oppo,A8,,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,180,720 x 1600 ,6.5,Yes,Android,Mediatek MT6765V/CB Helio P35,150,128,4,Non-removable,4230
Oppo,Reno Ace,65,8,Adreno 640,Dual-Sim,LTE,AMOLED,4K,1080p,200,1080 x 2400 ,6.5,Yes,Android,Qualcomm SM8150 Snapdragon 855+,607.77,128,8,Non-removable,4000
Oppo,Reno A,,8,Adreno 616,Dual-Sim,LTE,AMOLED,4K,1080p,169.5,1080 x 2340 ,6.4,Yes,Android,Qualcomm SDM710 Snapdragon 710,280,128,6,Non-removable,3600
Oppo,A5 (2020),,8,Adreno 610,Dual-Sim,LTE,IPS LCD,4K,1080p,195,720 x 1600 ,6.5,Yes,Android,Qualcomm SDM665 Snapdragon 665,148.96,64,3,Non-removable,5000
Oppo,A9 (2020),10,8,Adreno 610,Dual-Sim,LTE,IPS LCD,4K,1080p,195,720 x 1600 ,6.5,Yes,Android,Qualcomm SDM665 Snapdragon 665,179.99,128,4,Non-removable,5000
Oppo,Reno2,20,8,Adreno 618,Dual-Sim,LTE,AMOLED,4K,1080p,189,1080 x 2400 ,6.5,Yes,Android,Qualcomm SDM730 Snapdragon 730G,399.99,128,8,Non-removable,4000
Oppo,Reno2 F,20,8,Mali-G72,Dual-Sim,LTE,AMOLED,1080p,1080p,195,1080 x 2340 ,6.5,Yes,Android,Mediatek MT6771V Helio P70,374.9,128,8,Non-removable,4000
Oppo,Reno2 Z,20,8,PowerVR GM9446,Dual-Sim,LTE,AMOLED,4K,1080p,195,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6779 Helio P90,269,128,8,Non-removable,4000
Oppo,Reno Z,20,8,PowerVR GM9446,Dual-Sim,LTE,AMOLED,4K,1080p,186,1080 x 2340 ,6.4,Yes,Android,Mediatek MT6779 Helio P90,330,128,4,Non-removable,4035
Oppo,A9x,20,8,Mali-G72,Dual-Sim,LTE,LTPS IPS LCD,1080p,1080p,190,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6771V Helio P70,260,128,6,Non-removable,4020
Oppo,Reno 5G,20,8,Adreno 640,Dual-Sim,5G,AMOLED,4K,1080p,215,1080 x 2340 ,6.6,No,Android,Qualcomm SM8150 Snapdragon 855,880,256,8,Non-removable,4065
Oppo,A1k,,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,720p,170,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,100,32,2,Non-removable,4000
Oppo,A5 (AX5),,8,Adreno 506,Dual-Sim,LTE,IPS LCD,1080p,1080p,168,720 x 1520 ,6.2,Yes,Android,Qualcomm SDM450 Snapdragon 450,230,32,3,Non-removable,4230
Realme,X3 SuperZoom,30,8,Adreno 640,Dual-Sim,LTE,IPS LCD,4K,1080p,202,1080 x 2400 ,6.6,No,Android,Qualcomm SM8150 Snapdragon 855+,499,128,8,Non-removable,4200
Realme,6S,30,8,Mali-G76,Dual-Sim,LTE,IPS LCD,4K,1080p,191,1080 x 2400 ,6.5,Yes,Android,Mediatek MT6785 Helio G90T,200,64,4,Non-removable,4300
Realme,X50 Pro Player,65,8,Adreno 650,Dual-Sim,5G,Super AMOLED,4K,1080p,209,1080 x 2400 ,6.44,No,Android,Qualcomm SM8250 Snapdragon 865,464.99,128,6,Non-removable,4200
Realme,Narzo 10,18,8,Mali-G52,Dual-Sim,LTE,IPS LCD,1080p,1080p,199,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G80,150,128,4,Non-removable,5000
Realme,Narzo 10A,10,8,Mali-G52,Dual-Sim,LTE,IPS LCD,1080p,1080p,195,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G70,100,32,3,Non-removable,5000
Realme,X50m 5G,30,8,Adreno 620,Dual-Sim,5G,IPS LCD,4K,1080p,194,1080 x 2400 ,6.57,No,Android,Qualcomm SDM765 Snapdragon 765G,276.11,128,6,Non-removable,4200
Realme,6i,18,8,Mali-G52,Dual-Sim,LTE,IPS LCD,1080p,1080p,199,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G80,164.14,64,3,Non-removable,5000
Realme,6 Pro,30,8,Adreno 618,Dual-Sim,LTE,IPS LCD,4K,1080p,202,1080 x 2400 ,6.6,Yes,Android,Qualcomm SM7125 Snapdragon 720G,249,64,6,Non-removable,4300
Realme,X50 Pro 5G,65,8,Adreno 650,Dual-Sim,5G,Super AMOLED,4K,1080p,205,1080 x 2400 ,6.44,No,Android,Qualcomm SM8250 Snapdragon 865,435.99,128,6,Non-removable,4200
Realme,C3 (3 cameras),10,8,Mali-G52,Dual-Sim,LTE,IPS LCD,1080p,1080p,195,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G70,124.94,32,2,Non-removable,5000
Realme,X50 5G,30,8,Adreno 620,Dual-Sim,5G,IPS LCD,4K,1080p,202,1080 x 2400 ,6.57,No,Android,Qualcomm SDM765 Snapdragon 765G,239.99,64,6,Non-removable,4200
Realme,5i,10,8,Adreno 610,Dual-Sim,LTE,IPS LCD,4K,1080p,195,720 x 1600 ,6.52,Yes,Android,Qualcomm SDM665 Snapdragon 665,139.99,32,3,Non-removable,5000
Realme,5s,10,8,Adreno 610,Dual-Sim,LTE,IPS LCD,4K,1080p,198,720 x 1600 ,6.5,Yes,Android,Qualcomm SDM665 Snapdragon 665,169,64,4,Non-removable,5000
Realme,C2s,,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,166,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,40,32,3,Non-removable,4000
Realme,C2 2020,,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,166,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,100,32,2,Non-removable,4000
Realme,X2 Pro,50,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,199,1080 x 2400 ,6.5,Yes,Android,Qualcomm SM8150 Snapdragon 855+,429.9,64,6,Non-removable,4000
Realme,XT,20,8,Adreno 616,Dual-Sim,LTE,Super AMOLED,4K,1080p,183,1080 x 2340 ,6.4,Yes,Android,Qualcomm SDM712 Snapdragon 712,204.9,64,4,Non-removable,4000
Realme,5 Pro,20,8,Adreno 616,Dual-Sim,LTE,IPS LCD,4K,1080p,184,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM712 Snapdragon 712,188.1,64,4,Non-removable,4035
Realme,3i,,8,Mali-G72,Dual-Sim,LTE,IPS LCD,1080p,1080p,175,720 x 1520 ,6.2,Yes,Android,Mediatek MT6771 Helio P60,8000,32,3,Non-removable,4230
Realme,3 Pro,20,8,Adreno 616,Dual-Sim,LTE,IPS LCD,4K,1080p,172,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM710 Snapdragon 710,168.9,64,4,Non-removable,4045
Sony,Xperia 1 II,21,8,Adreno 650,Dual-Sim,5G,OLED,4K,1080p,181.4,1644 x 3840 ,6.5,Yes,Android,Qualcomm SM8250 Snapdragon 865,1099,256,8,Non-removable,4000
Sony,Xperia 10 II,18,8,Adreno 610,Single-Sim,LTE,OLED,4K,1080p,151,1080 x 2520 ,6,Yes,Android,Qualcomm SDM665 Snapdragon 665,319,128,4,Non-removable,3600
Sony,Xperia 5,18,8,Adreno 640,Single-Sim,LTE,OLED,4K,1080p,164,1080 x 2520 ,6.1,No,Android,Qualcomm SM8150 Snapdragon 855,461.99,128,6,Non-removable,3140
vivo,V19 Neo,18,8,Adreno 612,Dual-Sim,LTE,Super AMOLED,4K,1080p,176,1080 x 2400 ,6.44,Yes,Android,Qualcomm SDM675 Snapdragon 675,320,128,8,Non-removable,4500
vivo,Z5x (2020),18,8,Adreno 616,Dual-Sim,LTE,IPS LCD,1080p,1080p,204.1,1080 x 2340 ,6.53,Yes,Android,Qualcomm SDM712 Snapdragon 712,160,64,4,Non-removable,5000
vivo,X50 Pro+,44,8,Adreno 650,Dual-Sim,5G,AMOLED,4K,1080p,181.5,1080 x 2376 ,6.56,No,Android,Qualcomm SM8250 Snapdragon 865,630,128,8,Non-removable,4315
vivo,X50 Pro,33,8,Adreno 620,Dual-Sim,5G,AMOLED,4K,1080p,181.5,1080 x 2376 ,6.56,No,Android,Qualcomm SDM765 Snapdragon 765G,641.85,128,8,Non-removable,4315
vivo,Y70s,18,8,Mali-G76,Dual-Sim,5G,IPS LCD,4K,1080p,190,1080 x 2340 ,6.53,Yes,Android,Exynos 880,289.98,128,8,Non-removable,4500
vivo,iQOO Z1,44,8,Mali-G77,Dual-Sim,5G,IPS LCD,4K,1080p,195,1080 x 2408 ,6.57,Yes,Android,Mediatek Dimensity 1000+,344.98,128,6,Non-removable,4500
vivo,X50 Lite,18,8,Adreno 610,Dual-Sim,LTE,AMOLED,1080p,1080p,190.2,1080 x 2340 ,6.38,Yes,Android,Qualcomm SDM665 Snapdragon 665,300,128,8,Non-removable,4500
vivo,Y30,10,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,197,720 x 1560 ,6.47,Yes,Android,Mediatek MT6765 Helio P35,190,128,4,Non-removable,5000
vivo,iQOO Neo3 5G,44,8,Adreno 650,Dual-Sim,5G,IPS LCD,4K,1080p,198.1,1080 x 2408 ,6.57,Yes,Android,Qualcomm SM8250 Snapdragon 865,350,128,6,Non-removable,4500
vivo,Y50,15,8,Adreno 610,Dual-Sim,LTE,IPS LCD,1080p,1080p,197,1080 x 2400 ,6.53,Yes,Android,Qualcomm SM6125 Snapdragon 665,17990,128,8,Non-removable,5000
vivo,V19,33,8,Adreno 616,Dual-Sim,LTE,Super AMOLED,4K,1080p,186.5,1080 x 2400 ,6.44,Yes,Android,Qualcomm SDM712 Snapdragon 712,27990,128,8,Non-removable,4500
vivo,S6 5G,18,8,Mali-G76,Dual-Sim,5G,AMOLED,4K,1080p,181,1080 x 2400 ,6.44,Yes,Android,Exynos 980,297,128,8,Non-removable,4500
vivo,NEX 3S 5G,44,8,Adreno 650,Dual-Sim,5G,Super AMOLED,4K,1080p,219.5,1080 x 2256 ,6.89,Yes,Android,Qualcomm SM8250 Snapdragon 865,630,256,8,Non-removable,4500
vivo,V19 (Indonesia),18,8,Adreno 612,Dual-Sim,LTE,Super AMOLED,4K,1080p,176,1080 x 2400 ,6.44,Yes,Android,Qualcomm SDM675 Snapdragon 675,270,128,8,Non-removable,4500
vivo,Z6 5G,44,8,Adreno 620,Dual-Sim,5G,IPS LCD,4K,1080p,201,1080 x 2400 ,6.57,Yes,Android,Qualcomm SDM765 Snapdragon 765G,297.49,128,6,Non-removable,5000
vivo,iQOO 3 5G,55,8,Adreno 650,Dual-Sim,5G,Super AMOLED,4K,1080p,214.5,1080 x 2400 ,6.44,Yes,Android,Qualcomm SM8250 Snapdragon 865,472.79,128,6,Non-removable,4400
vivo,X30 Pro,33,8,Mali-G76,Dual-Sim,5G,Super AMOLED,4K,1080p,198.5,1080 x 2400 ,6.44,Yes,Android,Exynos 980,519.99,128,8,Non-removable,4350
